,Medicine Name,Description
10,Alpha-Lipoic Acid,"  Alpha-Lipoic Acid (ALA) adalah obat yang efektif digunakan untuk perawatan kulit dari dalam. Manfaatnya mulai dari mencegah penuaan kulit, memperbaiki elastisitas kulit, mengurangi kerutan, dan kulit kasar akibat penuaan kulit. Tetapi selain untuk perawatan kulit, obat ini juga digunakan untuk menurunkan komplikasi pada orang yang pernah mengalami operasi bypass jantung, menstabilkan kadar gula darah pada penderita diabetes melitus tipe 2, mengurangi gejala rasa terbakar, nyeri, dan mati rasa pada pergelangan kaki dan lengan pada penderita diabetes, serta digunakan untuk membantu menurunkan berat badan (https://www.webmd.com/vitamins-supplements/ingredientmono-767-Alpha+Lipoic+Acid+ALPHA-LIPOIC+ACID.aspx) "
11,Alprazolam,"  Alprazolam digunakan untuk terapi gangguan kecemasan jangka pendek, dan sebagai terapi untuk Kamu yang mengalami gangguan serangan panik. (https://www.mims.com/indonesia/drug/info/alprazolam/) "
12,Aluminium Hidroksida,"  Aluminium hidroksida ini adalah obat sakit lambung atau maag. Dia adalah golongan antasida untuk menetralkan asam lambung yang berlebih, mengobati luka atau tukak lambung, dan gastritis (iritasi lambung). Selain untuk sakit maag, aluminium hidroksida juga dapat untuk mengobati hiperfosfatemia yaitu kelebihan kadar fosfat dalam darah. Kondisi ini biasa dilamai pasien dengan gagal ginjal kronis. Selain itu dapat digunakan sebagai pelindung kulit (https://www.mims.com/indonesia/drug/info/aluminium%20hydroxide/) "
13,Ambroxol,"  Ambroxol digunakan untuk pengobatan pada pasien dengan penyakit-penyakit pada saluran pernapasan dimana terjadi produksi lendir atau dahak yang berlebihan. Penyakit yang dimaksud adalah emfisema, radang paru kronis, bronkiektasis, perburukan gejala bronkitis kronis dan akut, bronkitis asmatik, asma bronkial, dan radang rinofaringeal. Obat ini dapat pula digunakan untuk mengurangi rasa sakit pada tenggorokan, karena memiliki efek antiinflamasi. (https://www.farmasiana.com/ambroxol/ambroxol/) "
14,Amikacin,"  Amikacin adalah antibiotik yang digunakan untuk infeksi serius yang disebabkan oleh bakteri. Contoh infeksi serius yang dapat dapat diatasi dengan obat ini adalah septikemia atau sepsis di mana infeksi bakteri sudah menyebar ke dalam darah. Infeksi yang bisa diobati dengan amikacin adalah meningitis atauinfeksi sistem saraf pusat, infeksi saluran pernapasan serius (ISPA), infeksi tulang, sendi, kulit dan jaringan lunak, infeksi di rongga perut, dan infeksi akibat luka bakar ataupun pasca operasi. Amikacin kadang diberikan pada pasien yang menjalani bedah vaskular dan bedah sistem peredaran darah. Selain itu, obat ini juga digunakan untuk infeksi saluran kemih yang kambuh dan mengalami komplikasi.http://www.dexa-medica.com/our-product/prescriptions/ogb/Amikacin "
15,Amineptine,  Amineptine adalah obat yang digunakan untuk mengatasi depresi atau gangguan psikologis. (https://www.tabletwise.com/medicine/amineptine) 
16,Aminofilin,"  Aminofilin adalah obat yang digunakan untuk mengobati penyempitan saluran udara di paru-paru, atau dalam istilah medis disebut bronkospasma, baik yang akut maupun kronis. (https://www.mims.com/indonesia/drug/info/aminophylline/) "
17,Amiodarone,"  Amiodarone adalah obat untuk mengobati supraventikular, yaitu kondisi di mana terjadi peningkatan kecepatan denyut jantung. Selain itu, obat ini juga digunakan untuk mengobati gangguan irama jantung yang penyebabnya berasal dari bilik bawah jantung (ventrikel) yang biasa disebut ventrikular aritmia. Obat ini juga digunakan untuk orang-orang yang mengalami henti jantung atau disebut pulseless ventrikular takikardi. (https://www.mims.com/indonesia/drug/info/amiodarone/) "
18,Amitriptyline,"  Ada dua kegunaan obat ini, yaitu untuk mengatasi depresi dan kebiasaan ngompol pada malam hari. (https://www.mims.com/indonesia/drug/info/amitriptyline/) "
19,Amlodipine,  Ini adalah salah satu obat untuk mengobati darah tinggi dan mengobati serangan jantung (Prinzmetal Angina dan Stable Angina) (https://www.mims.com/indonesia/drug/info/amlodipine/) 
20,Amonium Klorida,"  Obat ini digunakan untuk mengobati batuk dan gangguan pernafasan, mencairkan lendir pada saluran pernafasan, mengurangi reflek batuk dan menghilangkan rasa gatal pada tenggorokan (ISO vol. 50) Selain itu, amonium klorida dapat digunakan sebagain agen pengasam pada kondisi dimana darah pasien terlalu basa pH nya. (https://www.mims.com/indonesia/drug/info/ammonium%20chloride/) "
21,Amoxapine,"  Amoxapine merupakan obat yang digunakan untuk mengobati gejala depresi, kecemasan, atau agitasi (resah dan gelisah). Mengobati depresi bisa meningkatkan mood, kebahagiaan, dan kualitas hidup penderitanya.(https://www.drugs.com/mtm/amoxapine.html) "
22,Amoxicillin,"  Amoxicillin adalah antibiotik yang digunakan untuk mengobati infeksi bakteri yang masih peka terhadap amoxicillin. Misalnya H. influenzae, N. Gonorrhoea, E. Coli, Pneumococci, Streptococci, dan Staphylococci. Beberapa infeksi bakteri yang dapat diobati dengan amoxicillin mulai dari infeksi gusi hingga saluran napas. Dengan kata lain amoxicillin adalah salah satu antibiotik yang sangat bemanfaat jika digunakan dengan bijaksana. Inilah infeksi yang bisa diatasi dengan amoxicillin, yaitu infeksi pada gusi hingga bernanah, infeksi saluran kemih, gonorrhoea, infeksi karena bakteri H. pylori, infeksi saluran pernapasan berat atau kambuhan, actinomycosis (penyakit kulit akibat infeksi jamur), infeksi saluran empedu, bronkitis (infeksi pada cabang tenggorokan), endokarditis (infeksi pada lapisan dalam jantung), gastroenteritis (infeksi pada lambung), infeksi mulut, otitis media (infeksi telingan bagian tengah), pneumonia, demam tifoid, faringitis (radang tenggorokan), dan infeksi amandel. (https://www.mims.com/indonesia/drug/info/amoxicillin/) "
23,Amphotericin B,"  Amphotericin B digunakan untuk mengobati infeksi jamur, di antaranya kandidiasis oral atau infeksi jamur candida albicans di rongga mulut, infeksi jamur di seluruh tubuh, infeksi jamur aspergillosis, endocarditis (peradangan pada jaringan dalam jantung), meningitis parah, dan candiduria (infeksi jamur dalam saluran kemih)(https://www.mims.com/indonesia/drug/info/amphotericin%20b/?type=brief&mtype=generic) "
24,Ampicillin,"  Ampicillin adalah antibiotik untuk mengobati berbagai infeksi bakteri, mulai dari infeksi di saluran pernapasan, demam tifoid dan paratifoid, gonorrhoea, pencegahan infeksi bakteri streptokokus saat melahirkan, meningitis, sepsis (infeksi bakteri pada darah). (https://www.mims.com/indonesia/drug/info/ampicillin/?type=brief&mtype=generic) "
25,Anidulafungin,"  Anidulafungin adalah obat yang digunakan untuk mengatasi infeksi jamur candida (jamur) dalam darah, perut, atau esofagus. (https://www.drugs.com/mtm/anidulafungin.html) "
26,Apixaban,  Apixaban adalah obat yang digunakan untuk menurunkan risiko stroke akibat penggumpalan darah pada penderita gangguan ritme jantung (atrial fibrillation). Obat ini juga digunakan setelah operasi penggantian panggul atau lutut untuk mencegah penggumpalan darah (deep vein thrombosis/DVT) di dalam paru-paru (pulmonary embolism/PE). (https://www.drugs.com/mtm/apixaban.html) 
27,Arginine,"  Arginine adalah suplemen yang biasa diberikan untuk berbagai masalah kesehatan. Misalnya mengobati nyeri dada, gangguan ereksi atau impotensi pada pria, peradangan pada saluran cerna bayi prematur, toleransi nitrat (efek terapi obat golongan nitrat berkurang karena penggunaan obat nitrat jangka panjang), nyeri pada kaki akibat aliran darah yang kurang baik, danbisa juga untuk mempercepat pemyembuhan setelah operasi dan bisa menjadi pilihan obat menurunkan tekanan darah tinggi pada ibu hamil (pre-eklamsia)(https://www.webmd.com/vitamins/ai/ingredientmono-875/l-arginine) "
28,Aripiprazole,"  Aripiprazole adalah obat untuk pasien dengan gangguan mental atau gangguan perubahan mood seperti dimana mood yang berlebihan dan sering (contohnya bipolar disorder, schizophrenia, Tourette's disorder). Obat ini juga dapat dikombinasi dengan obat lain untuk terapi depresi.(https://www.webmd.com/drugs/2/drug-64437-4274/aripiprazole-oral/aripiprazole-oral/details) "
29,Bacitracin,"  Bacitracin yang dijual di pasaran memiliki berbagai jenis, bisa dalam bentuk oles maupun cairan injeksi, menyesuaikan kebutuhan pasien. Untuk mencegah infeksi pada kulit yang terluka, tergores, dan terbakar, maka obat yang diberikan dalam bentuk oles. Sedangkan, untuk mengobati penyakit yang disebabkan oleh bakteri Staphylococcus, seperti pneumonia, maka akan digunakan bacitracin dalam bentuk cairan yang diinjeksi ke dalam tubuh. Terakhir, bacitracin ophthalmic berbentuk salep yang mampu digunakan untuk mengobati infeksi pada mata. (https://www.drugs.com/mtm/bacitracin-topical.html, https://www.mims.com/indonesia/drug/info/bacitracin/?type=brief&mtype=generic) "
30,Baclofen,"  Baclofen digunakan untuk mengobati kejang, nyeri, dan kaku otot yang disebabkan oleh penyakit multiple sklerosis. Ini merupakan penyakit autoimun yang menyerang sistem saraf pusat, terutama otak, saraf tulang belakang, dan saraf mata. (https://www.drugs.com/baclofen.html) "
31,Bambuterol,"  Bambuterol adalah obat yang digunakan untuk mengobati asma serta penyumbatan pada saluran napas yang reversibel dan menetap.(https://www.mims.com/indonesia/drug/info/bambuterol/?type=brief&mtype=generic, http://pionas.pom.go.id/monografi/bambuterol-hidroklorida-pro-drug-terbutalin) "
32,Benazepril,"  Benazepril adalah obat yang digunakan untuk mengatasi tekanan darah tinggi (hipertensi). Menurunkan tekanan darah dapat membantu mencegah stroke, serangan jantung, dan masalah ginjal. (https://www.drugs.com/mtm/benazepril.html) "
33,Benzoyl Peroxide,"  Benzoyl peroxide digunakan untuk obat jerawat dan mengobati decubitus atau stasis ulser, jaringan mati pada daerah kulit yang diberikan tekanan terus-menerus sebagai akibat duduk terlalu lama, koma, atau imobilitas.(https://www.drugs.com/mtm/benzoyl-peroxide-topical.html) "
34,Betametason,"  Betametason digunakan untuk mengobati berbagai masalah kesehatan, seperti gejala alergi, asma, gangguan kalenjar adrenal, masalah pada darah, kulit kemerahan, dan bengkak-bengkak pada tubuh.(https://www.drugs.com/cdi/betamethasone-systemic.html) "
35,Biotin,"  Biotin digunakan untuk mencegah kekurangan biotin. Kekurangan biotin dapat disebabkan oleh kekurangan nutrisi, penurunan berat badan yang cepat, penggunaan tube-feeding dalam jangka panjang, dan kondisi medis lainnya. Tidak hanya untuk mencegah kekurangan biotin, obat ini juga dapat digunakan untuk memelihara kesehatan rambut dan kuku.(https://www.drugs.com/mtm/biotin.html) "
36,Bisacodyl,"  Bisacodyl digunakan untuk mengobati konstipasi atau mengosongkan usus sebelum operasi, kolonoskopi, x-rays, maupun prosedur medis lainnya yang berhubungan dengan usus.(https://www.drugs.com/mtm/bisacodyl-oral-and-rectal.html) "
37,Boron,"  Boron digunakan untuk kondisi kekurangan boron, mengurangi nyeri haid, membangun tulang yang kuat, mengobati peradangan pada tulang, suplemen tambahan untuk membentuk otot dan meningkatkan kadar testosteron, serta membantu meningkatkan kemampuan berpikir dan koordinasi otot.(https://www.webmd.com/vitamins/ai/ingredientmono-894/boron) "
38,Botulinum Toxin,"  Botulinum toxin (botox) digunakan untuk mengobati penyakit strabismus (mata juling) dan blefarospasme (berkedip berlebihan), yang disebabkan oleh kondisi distonia. Distonia adalah kontraksi otot tak sadar yang menyebabkan gerakan berulang atau memutar. Botox digunakan juga untuk mengobati glabellar lines, yakni garis kerut atau keriput.(https://www.mims.com/indonesia/drug/info/botox/?type=brief) "
39,Bromelain,"  Ada banyak kegunaan dari bromelain, antara lain untuk:1) Mengurangi pembengkakan, terutama pada hidung dan sinus, setelah operasi atau terluka.2) Mengobati hay fever (alergi serbuk bunga).3) Mengobati kondisi usus yang meradang dan luka. 4) Membuang jaringan yang rusak dan mati setelah pembersihan luka.5) Mencegah penumpukan air pada paru-paru.6) Melemaskan otot.7) Menstimulasi kontraksi otot.8) Meningkatkan absorpsi antibiotik.9) Mencegah kanker.10) Mempercepat proses kelahiran.11) Membantu tubuh untuk membuang lemak.(https://www.webmd.com/vitamins/ai/ingredientmono-895/bromelain) "
40,Bromhexine,"  Jika Kamu sedang batuk berdahak, maka salah satu obat yang kemungkinan akan dianjurkan oleh dokter atau apoteker adalah bromhexine. Obat ini digunakan sebagai mukolitik alias untuk mengencerkan dahak.(https://www.mims.com/indonesia/drug/info/bromhexine/?type=brief&mtype=generic) "
41,Bromocriptine,"  Bromokriptin adalah obat yang digunakan untuk terapi penyakit-penyakit akibat ketidakseimbangan hormon, ketika prolaktin yang ada di dalam darah terlalu banyak (hiperprolaktinemia). Gejala dari hiperprolaktinemia sendiri adalah perkembangan seksual yang kurang sempurna pada orang dewasa. Misalnya, pada wanita biasanya jadi jarang haid, kehilangan gairah seks, wajah memerah, tidak subur, dan produksi ASI tidak terduga, sehingga menyebabkan ASI sering keluar dan merembes dari payudara. Sementara itu, pada pria gejalanya adalah pembesaran payudara, turunnya gairah seks, rambut tubuh tidak tumbuh, dan kehilangan massa otot. Bromokriptin juga bisa digunakan untuk terapi tumor otak yang menyebabkan produksi prolaktin berlebihan. Selain itu, dapat digunakan untuk mengontrol gula darah pada pasien diabetes melitus tipe 2. (https://www.drugs.com/mtm/bromocriptine.html; https://www.webmd.com/drugs/2/drug-5565-1510/bromocriptine-oral/bromocriptine-diabetes-oral/details) "
42,Brompheniramine,"  Brompheniramine adalah obat yang digunakan untuk mengatasi hidung berair, bersin, gatal, serta mata berair akibat alergi, pilek, atau flu. (https://www.drugs.com/mtm/brompheniramine.html) "
43,Budesonide,"  Budesonide adalah obat yang digunakan untuk mengobati beberapa penyakit usus, seperti Crohn's disease (radang usus kronis) dan koalitis ulseratif (radang kronis pada usus besar).(https://www.webmd.com/drugs/2/drug-22008/budesonide-oral/details) "
44,Bupivacaine,  Bupivacaine adalah obat anestesi yang disuntikkan di tulang belakang. Ini berguna untuk membuat pasien menjadi mati rasa atau tidak merasakan sakit saat operasi Caesar dan sejumlah prosedur medis lain. Bupivacaine juga bisa digunakan sebagai anestesi pada operasi gigi. (https://www.drugs.com/mtm/bupivacaine.html) 
45,Bupropion,"  Bupropion dikonsumsi untuk mengobati gangguan depresi berat dan gangguan mood musiman. Obat ini juga bisa digunakan untuk membantu orang yang ingin berhenti merokok, dengan cara mengurangi kecanduan serta ketergantungan terhadap kebiasaan buruk ini.(https://www.drugs.com/bupropion.html) "
46,Busulfan,  Busulfan adalah obat yang digunakan untuk terapi leukemia myeloid akut (kanker darah dan sumsum tulang). Obat ini juga bisa dikombinasikan dengan obat Siklofosfamid untuk mempersiapkan tubuh sebelum menerima transplantasi sel punca dari donor sumsum tulang belakang. (https://www.drugs.com/mtm/busulfan.html) 
47,Calcitriol,"  Calcitriol adalah obat yang digunakan untuk mengobati hiperparatiroidisme, sebuah kondisi ketika kelenjar paratiroid mengeluarkan hormon paratiroid yang jumlahnya lebih banyak dari normal. Obat ini juga digunakan untuk mengobati gangguan metabolisme tulang pada orang yang menderita gagal ginjal kronis dan tidak menerima pengobatan dialisis.Calcitriol pada umumnya bisa digunakan untuk mengobati kondisi kekurangan kalsium pada penderita hipoparatirioidisme, kondisi ketika kelenjar paratiroid mengeluarkan hormon paratiroid yang jumlahnya kurang dari normal, akibat operasi atau kondisi lain.(https://www.drugs.com/mtm/calcitriol.html) "
48,Calcium Acetate,"  Calcium acetate adalah obat yang digunakan oleh penderita gagal ginjal, untuk mengontrol kadar fosfat dalam darah agar tidak terlalu tinggi.   Baca juga: Bolehkah Penderita Gagal Ginjal Berpuasa? Ini Jawabannya! "
49,Calcium Carbonate,"  Kalsium adalah mineral penting yang dibutuhkan oleh tubuh, terutama untuk pertumbuhan dan pemeliharaan gigi serta tulang. Tak hanya itu, kalsium juga dibutuhkan oleh saraf, jantung, dan sistem pembekuan darah agar bisa berfungsi dengan baik.Kalsium dapat diperoleh dari makanan, seperti susu, keju, tahu, tempe, bayam, brokoli, kacang-kacangan, dan ikan sarden. Namun, ada saat-saat ketika tubuh memerlukan lebih banyak asupan kalsium yang tinggi, terutama pada masa pertumbuhan sewaktu kanak-kanak serta pada wanita yang sedang hamil atau menyusui. Karena itulah dibutuhkan suplemen kalsium untuk memenuhi kebutuhan tubuh.   Baca juga: Berapa Kebutuhan Kalsium Ibu Hamil? "
50,Candesartan,"  Candesartan adalah obat yang digunakan untuk mengobati tekanan darah tinggi pada orang dewasa dan anak-anak yang berusia minimal 1 tahun. Obat ini juga bisa digunakan pada orang dewasa yang menderita sejumlah tipe penyakit jantung, serta untuk mengurangi komplikasi serius atau kematian akibat kerusakan jantung.(https://www.drugs.com/mtm/candesartan.html) "
51,Captopril,"  Captopril adalah obat yang digunakan untuk mengatasi tekanan darah tinggi, gagal jantung kongestif (kegagalan jantung dalam memompa darah yang dibutuhkan tubuh), gangguan ginjal akibat diabetes, serta meningkatkan harapan dan kualitas hidup penderita serangan jantung. (https://www.drugs.com/captopril.html) "
52,Carbamazepine,"  Carbamazepine adalah obat yang digunakan untuk terapi kejang dan nyeri pada saraf,  seperti trigeminal neuralgia yaitu nyeri pada wajah yang menyiksa dan diabetik nefropati yaitu komplikasi pada ginjal akibat diabetes. (https://www.drugs.com/carbamazepine.html) "
53,Carbimazole,"  Carbimazole adalah obat yang digunakan untuk mengobati hipertiroidisme, kondisi dimana kadar hormon tiroksin di dalam tubuh terlalu tinggi. (https://www.drugs.com/uk/carbimazole-10-mg-tablets-leaflet.html) "
54,Carvedilol,  Carvedilol adalah obat yang digunakan untuk mengobati gagal jantung dan hipertensi. Obat ini juga bisa digunakan untuk pengobatan pasca serangan jantung yang diakibatkan oleh ketidakmampuan organ tersebut untuk memompa darah dengan baik.(https://www.drugs.com/carvedilol.html) 
55,Caspofungin,"  Caspofungin digunakan untuk mengatasi infeksi fungi (jamur) pada lambung, paru-paru, esofagus, dan bagian tubuh bagian dalam lainnya.(https://www.drugs.com/mtm/caspofungin.html) "
56,Cefadroxil,"  Cefadroxil digunakan untuk mengobati infeksi yang disebabkan oleh bakteri, contohnya infeksi pada kulit, infeksi saluran nafas, dan infeksi saluran kemih. (https://www.mims.com/indonesia/drug/info/cefadroxil/?type=brief&mtype=generic) "
57,Cefazolin,"  Cefazolin adalah antibiotik yang digunakan untuk mengobati berbagai jenis infeksi yang disebabkan oleh bakteri, termasuk infeksi yang parah dan mengancam nyawa. Obat ini juga dapat membantu mencegah infeksi pada pasien yang menjalani operasi. (https://www.drugs.com/mtm/cefazolin-injection.html) "
58,Cefepime,"  Cefepime adalah antibiotik yang digunakan untuk mengobati berbagai infeksi yang disebabkan oleh bakteri, termasuk infeksi parah yang mengancam nyawa. (https://www.drugs.com/mtm/cefepime-injection.html) "
59,Cefidinir,  Cefidinir adalah antibiotik yang digunakan untuk mengatasi berbagai jenis infeksi yang disebabkan oleh bakteri. 
60,Cefixime,"  Cefixime adalah antibiotik yang digunakan untuk mengobati berbagai infeksi yang disebabkan bakteri, termasuk infeksi parah yang mengancam nyawa.(https://www.drugs.com/mtm/cefixime.html) "
61,Cefoperazone,  Cefoperazone adalah antibiotik yang digunakan untuk mengobati infeksi akibat bakteri pada beberapa bagian tubuh yang berbeda. (https://www.drugs.com/cons/cefoperazone-intramuscular-intravenous.htm) 
62,Cefotaxim,"  Cefotaxime adalah antibiotik yang digunakan untuk mengobati berbagai infeksi, termasuk infeksi yang mengancam jiwa. Cefotaxime juga digunakan untuk mencegah infeksi pada pasien yang menjalani operasi.(https://www.drugs.com/mtm/cefotaxime.html) "
63,Ceftazidime,"  Ceftazidime adalah antibiotik yang digunakan untuk mengobati berbagai infeksi bakteri, termasuk infeksi yang mengancam jiwa. (https://www.drugs.com/mtm/ceftazidime-injection.html) "
64,Ceftriaxone,"  Ceftriaxone adalah antibiotik yang digunakan untuk mengobati berbagai infeksi akibat bakteri, termasuk infeksi yang mengancam nyawa seperti meningitis (peradangan selaput otak). Obat ini juga digunakan untuk mencegah infeksi pada pasien yang menjalani dioperasi.(https://www.drugs.com/mtm/ceftriaxone-injection.html) "
65,Cefuroxime,  Cefuroxime adalah antibiotik yang digunakan untuk mengobati berbagai jenis infeksi akibat bakteri termasuk infeksi yang mengancam jiwa.(https://www.drugs.com/mtm/cefuroxime.html) 
66,Celecoxib,"  Celecoxib adalah obat yang digunakan untuk mengobati nyeri atau peradangan yang disebabkan oleh sejumlah kondisi, seperti arthritis (radang sendi), spondilitis ankilosa (peradangan tulang belakang kronis), dan nyeri saat menstruasi. (https://www.drugs.com/celecoxib.html) "
67,Cephalexin,"  Cefalexin adalah obat yang digunakan untuk mengobati berbagai infeksi yang disebabkan oleh bakteri. Contoh infeksi bakteri yang dapat diobati oleh cefalexin termasuk infeksi saluran napas bagian atas, infeksi telinga, infeksi pada kulit, dan infeksi saluran kencing. "
68,Cetirizine,"  Cetirizine adalah obat yang digunakan untuk mengatasi gatal-gatal dan pembengkakan yang disebabkan oleh hives, yakni alergi pada kulit berupa kemerahan dan gatal-gatal. "
69,Chlordiazepoxide,  Chlordiazepoxide digunakan untuk mengobati gangguan kecemasan. Obat ini juga digunakan untuk terapi rasa cemas jangka pendek sebelum operasi serta untuk mengatasi kecemasan karena ketergantungan terhadap alkohol. 
70,Chlorpheniramine,"  Chlorpheniramine adalah obat yang digunakan untuk mengatasi hidung berair, bersin-bersin, gatal-gatal, dan mata berair. Gejala-gejala tersebut umumnya disebabkan oleh alergi, pilek, atau flu. "
71,Chlorpromazine,"  Chlorpromazine adalah obat yang digunakan untuk mengatasi gangguan psikis, seperti Schizofrenia, depresi episode manik, dan gangguan perilaku berat pada anak usia 1 sampai 12 tahun. Selain itu, obat ini juga digunakan untuk mengobati mual dan muntah, mengatasi kecemasan sebelum operasi, mengatasi cegukan kronis, mengatasi porfiria akut yang berjeda, serta mengatasi gejala tetanus. "
72,Cholestyramine,"  Cholestyramine adalah obat yang digunakan untuk menurunkan kadar kolesterol yang tinggi dalam darah, terutama LDL (kolestrol jahat). "
73,Ciclosporin,  Ciclosporin adalah obat yang digunakan untuk menekan reaksi sistem imun dari tubuh (imunosupresan).   
74,Cilostazol,"  Cilostazol adalah obat yang digunakan untuk mengobati gejala klaudikasio, yaitu rasa nyeri atau kram di tungkai bawah akibat kurangnya aliran darah ke otot yang selalu hilang dan timbul. Obat ini dapat memperbaiki kemampuan berjalan jauh tanpa disertai rasa nyeri.  "
